ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
14191;IP;46.0961774;12.6807068;;;F.lli Corba S.A.S. di Corba Massimo e Stefano;Gasolio;1.879;Servito;08/06/2022 19:59:59;07
14213;Eni;46.2871495;13.1223732;;;Zamolo S.A.S. di Zamolo Giulio & C.;Gasolio;1.924;SelfService;10/06/2022 07:30:11;07
14213;Eni;46.2871495;13.1223732;;;Zamolo S.A.S. di Zamolo Giulio & C.;Gasolio;2.134;Servito;10/06/2022 07:30:11;08
14227;Bolgan;45.5191727;12.1102516;;;Bolgan Aldo;Gasolio;1.898;Servito;08/06/2022 19:14:10;07
14227;Bolgan;45.5191727;12.1102516;;;Bolgan Aldo;Gasolio;1.898;SelfService;08/06/2022 19:14:10;07
14268;;45.1365811;12.0758705;;;Baccaglini Gabriella;Gasolio;1.944;SelfService;07/06/2022 23:33:48;08
14268;;45.1365811;12.0758705;;;Baccaglini Gabriella;Gasolio;2.154;Servito;07/06/2022 23:33:48;08
14467;IP;45.1681590;12.2742528;;;Valli S.R.L.;Gasolio;1.878;SelfService;08/06/2022 17:19:33;07
14504;Agip;46.0165010;12.5142850;;;Menegoz Alessandro;Gasolio;1.888;SelfService;06/06/2022 07:23:49;07
14504;Agip;46.0165010;12.5142850;;;Menegoz Alessandro;Gasolio;2.098;Servito;06/06/2022 07:23:49;08
14643;Agip;46.0268256;12.9372198;;;Da Angela di Fabris Giacomino & C. - S.A.S.;Gasolio;1.934;SelfService;09/06/2022 15:25:37;07
14695;Tamoil;46.5110311;13.0021835;;;Moro Miria;Gasolio;1.689;Servito;27/12/2021 12:51:53;06
14695;Tamoil;46.5110311;13.0021835;;;Moro Miria;Gasolio;1.689;SelfService;27/12/2021 12:51:53;06
14798;Esso;46.4162521;12.9191631;;;Centro Auto di Polonia Valerio;Gasolio;1.939;Servito;09/06/2022 00:37:39;08
14798;Esso;46.4162521;12.9191631;;;Centro Auto di Polonia Valerio;Gasolio;1.939;SelfService;09/06/2022 00:37:39;08
14823;Agip;45.8403241;13.4934855;;;Ricciardi Antonio;Gasolio;1.989;SelfService;10/06/2022 07:53:05;08
14823;Agip;45.8403241;13.4934855;;;Ricciardi Antonio;Gasolio;2.209;Servito;10/06/2022 07:53:05;09
14884;Q8;46.3726235;13.0648358;;;Area di Servizio Shell di Marta Ivan & C. S.A.S.;Gasolio;1.969;Servito;08/06/2022 20:13:50;08
14884;Q8;46.3726235;13.0648358;;;Area di Servizio Shell di Marta Ivan & C. S.A.S.;Gasolio;1.969;SelfService;08/06/2022 20:13:50;08
15360;Esso;45.7224388;12.7021906;;;Romano Energy S.A.S. di Romano Tomas & C.;Gasolio;1.919;Servito;10/06/2022 07:52:07;07
15360;Esso;45.7224388;12.7021906;;;Romano Energy S.A.S. di Romano Tomas & C.;Gasolio;1.919;SelfService;10/06/2022 07:52:07;07
15474;Agip;45.4572710;11.9932940;;;Girardello Stefano;Gasolio;1.969;SelfService;10/06/2022 07:31:08;08
15502;IP;45.6959140;13.0688270;;;Aprilia Marittima 2000 S.p.A.;Gasolio;1.999;Servito;08/06/2022 16:38:52;08
15517;Q8;45.8277200;13.4012111;;;Singh Gurdial;Gasolio;1.929;Servito;09/06/2022 19:09:18;07
15693;;46.1791827;13.0437591;;;Venier S.N.C. di Venier Sonia & C.;Gasolio;1.949;Servito;08/06/2022 17:16:33;08
15815;IP;46.0521907;13.2383076;;;Covacich Luciano S.N.C. di Covacich L. & C.;Gasolio;1.924;SelfService;08/06/2022 09:16:02;07
15815;IP;46.0521907;13.2383076;;;Covacich Luciano S.N.C. di Covacich L. & C.;Gasolio;2.144;Servito;08/06/2022 09:16:02;08
15835;;45.9062284;12.8654772;;;Gazziola Celio Diego;Gasolio;1.914;Servito;09/06/2022 07:59:48;07
15872;Esso;45.5114817;12.6560659;;;Area Servizio Cella di Cella Roberto & C. S.A.S.;Gasolio;1.959;SelfService;09/06/2022 07:46:14;08
15964;;45.7293506;12.6836535;;;Caneo Francesco & C. - S.A.S. di Miotto Daniela;Gasolio;1.939;SelfService;07/06/2022 11:44:14;08
15964;;45.7293506;12.6836535;;;Caneo Francesco & C. - S.A.S. di Miotto Daniela;Gasolio;2.099;Servito;07/06/2022 11:44:14;08
16077;IP;46.2006007;13.2642323;;;Migueletto Raul Guillermo;Gasolio;1.899;Servito;07/06/2022 19:07:38;07
16077;IP;46.2006007;13.2642323;;;Migueletto Raul Guillermo;Gasolio;1.899;SelfService;07/06/2022 19:07:38;07
16235;;45.4873379;12.4176728;;;Distributore Laguna Nord S.A.S. di Molin Sebastiano e Ludena Marco Gustavo;Gasolio;2.138;Servito;06/06/2022 17:55:31;08
16297;Esso;45.1970788;12.2868867;;;Volta Celeste di Boscolo Antonio e Moretto Roberta & C. S.N.C.;Gasolio;1.939;Servito;10/06/2022 07:41:29;08
16412;TotalErg;45.9504040;12.9732660;;;B. & B. di Brun Gianfranco e Stefano S.A.S.;Gasolio;1.929;SelfService;09/06/2022 07:02:10;07
16450;Eni;45.6734704;13.0883052;;;Torresan Massimo;Gasolio;1.979;SelfService;08/06/2022 09:10:20;08
16450;Eni;45.6734704;13.0883052;;;Torresan Massimo;Gasolio;2.189;Servito;08/06/2022 09:10:20;09
16463;Agip;46.0594653;13.2486093;;;Meneghin Antonino & C. S.N.C.;Gasolio;1.949;SelfService;10/06/2022 07:45:00;08
16463;Agip;46.0594653;13.2486093;;;Meneghin Antonino & C. S.N.C.;Gasolio;2.169;Servito;10/06/2022 07:45:00;08
16630;Eni;46.1947289;13.2569283;;;Meneghin Federico e C. S.N.C.;Gasolio;1.944;SelfService;10/06/2022 06:32:03;08
16630;Eni;46.1947289;13.2569283;;;Meneghin Federico e C. S.N.C.;Gasolio;2.189;Servito;10/06/2022 06:32:03;09
16668;Agip;45.9346690;13.6010740;;;Area 4133 S.N.C. di Sabrina Ponzalli e Paolo Macuz;Gasolio;2.009;SelfService;10/06/2022 07:22:00;08
16668;Agip;45.9346690;13.6010740;;;Area 4133 S.N.C. di Sabrina Ponzalli e Paolo Macuz;Gasolio;2.229;Servito;10/06/2022 07:22:00;09
16725;;45.4449890;12.3370678;;;Vulcano Stefania;Gasolio;2.206;Servito;09/06/2022 13:03:05;09
16725;;45.4449890;12.3370678;;;Vulcano Stefania;Gasolio;2.206;SelfService;09/06/2022 13:03:05;09
16813;Agip;45.5815673;12.3669729;;;Baroni Massimo;Gasolio;1.949;SelfService;09/06/2022 13:30:43;08
16868;IP;45.6821055;13.4053797;;;S.G. di Salmeri Dario & C. S.A.S.;Gasolio;1.929;Servito;09/06/2022 08:34:23;07
16889;IP;45.7955036;12.6819489;;;Erg di Fedrigo Michele;Gasolio;1.929;SelfService;07/06/2022 17:42:04;07
16889;IP;45.7955036;12.6819489;;;Erg di Fedrigo Michele;Gasolio;2.099;Servito;07/06/2022 17:42:04;08
16933;Total;46.5007150;13.3016832;;;Agnola Mario;Gasolio;2.046;Servito;09/06/2022 16:29:10;08
16933;Total;46.5007150;13.3016832;;;Agnola Mario;Gasolio;2.046;SelfService;09/06/2022 16:29:10;08
16952;TotalErg;45.9418400;13.1678220;;;Pascut Gabriele;Gasolio;1.929;SelfService;08/06/2022 08:27:45;07
16952;TotalErg;45.9418400;13.1678220;;;Pascut Gabriele;Gasolio;2.079;Servito;08/06/2022 08:27:45;08
16980;AdriaEnergy;45.7087015;13.7441563;;;Adriaenergy S.R.L.;Gasolio;1.925;SelfService;07/06/2022 14:38:50;07
17047;IP;46.1659480;12.7089930;;;F.lli Pontello Srl;Gasolio;1.919;Servito;07/06/2022 14:41:30;07
17054;Agip;46.1853970;12.7665580;;;F.lli Pontello Srl;Gasolio;1.899;SelfService;07/06/2022 14:42:46;07
17054;Agip;46.1853970;12.7665580;;;F.lli Pontello Srl;Gasolio;2.109;Servito;07/06/2022 14:42:46;08
17194;Eni;45.4718737;12.0273165;;;Fiorin S.N.C. di Fiorin Roberto & C.;Gasolio;1.969;SelfService;10/06/2022 06:16:50;08
17194;Eni;45.4718737;12.0273165;;;Fiorin S.N.C. di Fiorin Roberto & C.;Gasolio;2.189;Servito;10/06/2022 06:16:50;09
17483;Api;46.0015368;13.2066810;;;Piccini Leonardo;Gasolio;1.939;SelfService;08/06/2022 19:02:25;08
17483;Api;46.0015368;13.2066810;;;Piccini Leonardo;Gasolio;2.179;Servito;08/06/2022 19:02:25;09
17515;Tamoil;45.8658062;12.7337345;;;Porricelli Emilio;Gasolio;1.959;Servito;10/06/2022 07:20:09;08
17515;Tamoil;45.8658062;12.7337345;;;Porricelli Emilio;Gasolio;1.959;SelfService;10/06/2022 07:20:09;08
17552;Esso;46.0908191;13.4158393;;;Superfast Esso di Roiatti Roberto & C. S.A.S.;Gasolio;1.959;Servito;08/06/2022 07:24:23;08
17593;;45.4198550;12.1535490;;;Versuro Doriano;Gasolio;1.939;Servito;09/06/2022 22:01:56;08
17593;;45.4198550;12.1535490;;;Versuro Doriano;Gasolio;1.939;SelfService;09/06/2022 22:01:56;08
17626;Agip;46.0092430;13.2533310;;;Moschione Loris;Gasolio;1.949;SelfService;10/06/2022 07:34:28;08
17693;;45.7934010;13.4061100;;;C.M. S.N.C. di Cosolo Giorgio & C.;Gasolio;1.939;SelfService;08/06/2022 17:59:23;08
18211;Tamoil;45.4485033;12.1941118;;;Marini Valter;Gasolio;1.979;Servito;09/06/2022 13:50:03;08
18211;Tamoil;45.4485033;12.1941118;;;Marini Valter;Gasolio;1.979;SelfService;09/06/2022 13:50:03;08
18279;Esso;45.6306040;12.5802470;;;Casagrande M. & C. S.A.S. di Casagrande Marcellino;Gasolio;1.909;SelfService;08/06/2022 08:13:28;07
18279;Esso;45.6306040;12.5802470;;;Casagrande M. & C. S.A.S. di Casagrande Marcellino;Gasolio;2.029;Servito;08/06/2022 08:13:28;08
18476;IP;45.4793170;12.2279600;;;Bugin Paolo;Gasolio;1.959;SelfService;09/06/2022 07:00:05;08
18476;IP;45.4793170;12.2279600;;;Bugin Paolo;Gasolio;2.139;Servito;09/06/2022 07:00:05;08
18571;Esso;45.8138160;13.5131410;;;Stazione di Servizio Esso F.lli Mininel di Mininel Andrea e C. S.N.C.;Gasolio;1.989;SelfService;10/06/2022 07:03:08;08
18651;Eni;45.6395267;13.0615360;;;Zampar Martina;Gasolio;1.949;SelfService;10/06/2022 00:08:32;08
18677;Agip Eni;46.2109172;12.9546179;;;Dean Mirko;Gasolio;1.867;Servito;07/06/2022 07:02:53;07
18807;Stazione di servizio Eni;45.6397633;13.7772089;;;Matcovich Alessandro;Gasolio;1.914;SelfService;01/06/2022 12:35:18;07
18877;Eni;45.8017151;13.5494263;;;Bidut Roberto - Impianto Agip Monfalcone;Gasolio;1.969;SelfService;10/06/2022 06:48:12;08
18877;Eni;45.8017151;13.5494263;;;Bidut Roberto - Impianto Agip Monfalcone;Gasolio;2.189;Servito;10/06/2022 06:48:12;09
18937;IP;45.4777382;12.2324659;;;Mazzolin Marco e Nicola S.N.C.;Gasolio;1.959;SelfService;07/06/2022 12:06:00;08
18950;IP;45.1972460;12.2890784;;;Car Service S.A.S.Di Pasotti Michele & C.;Gasolio;1.849;Servito;30/05/2022 10:43:03;07
