ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
24365;Xoil;45.6368319;12.6809742;;;Solda' Alfeo e C. - S.N.C.;Benzina;1.629;SelfService;20221227;07
24421;KV;46.1181509;13.2173907;;;Vanello Eugenio & Figli S.P.A;Benzina;1.579;SelfService;20221224;07
24421;KV;46.1181509;13.2173907;;;Vanello Eugenio & Figli S.P.A;Benzina;1.679;Servito;20221224;07
24798;Ip;45.4739953;12.2142660;;;Villabonasud;Benzina;1.659;SelfService;20221224;07
24798;Ip;45.4739953;12.2142660;;;Villabonasud;Benzina;2.189;Servito;20221224;10
24829;;45.4418459;12.0569114;;;Eni Fuel S.p.A.;Benzina;1.684;SelfService;20221227;07
24829;;45.4418459;12.0569114;;;Eni Fuel S.p.A.;Benzina;1.901;Servito;20221227;08
24846;Esso;45.9734988;13.3961129;;;B & T S.N.C. di Bonessi M. & C.;Benzina;1.629;SelfService;20221227;07
24883;SMP;45.9386935;12.4973751;;;Sanson Alessandro;Benzina;1.639;Servito;20221227;07
24883;SMP;45.9386935;12.4973751;;;Sanson Alessandro;Benzina;1.639;SelfService;20221227;07
25027;IP;46.0859271;13.2169778;;;Pallini Maurizio;Benzina;1.609;Servito;20221228;07
25044;SMP;46.1001642;13.2220638;;;San Marco Petroli Distribuzione S.R.L.;Benzina;1.569;SelfService;20221227;07
25135;;45.6025069;12.8841710;;;Cav. Francesco Campagner di Renzo Campagner & C. S.A.S.;Benzina;1.659;SelfService;20221227;07
25135;;45.6025069;12.8841710;;;Cav. Francesco Campagner di Renzo Campagner & C. S.A.S.;Benzina;1.859;Servito;20221227;08
25561;Costantin;45.3961982;11.9866848;;;Zanin Rita;Benzina;1.629;Servito;20221227;07
25561;Costantin;45.3961982;11.9866848;;;Zanin Rita;Benzina;1.629;SelfService;20221227;07
25804;Agip;45.8083860;13.4428020;;;Area Pieris di Ponzalli Roberto & Sellan Matteo S.N.C.;Benzina;1.624;SelfService;20221227;07
25804;Agip;45.8083860;13.4428020;;;Area Pieris di Ponzalli Roberto & Sellan Matteo S.N.C.;Benzina;1.844;Servito;20221227;08
25825;;45.9498241;12.8821507;;;Ip Services S.R.L.;Benzina;1.599;SelfService;20221227;07
25828;IP;46.0001630;13.2741670;;;Ip Services S.R.L.;Benzina;1.589;SelfService;20221227;07
25829;IP;46.0788874;13.2348679;;;Ip Services S.R.L.;Benzina;1.639;SelfService;20221227;07
25830;IP;46.0739356;13.2025289;;;Ip Services S.R.L.;Benzina;1.559;SelfService;20221227;07
25845;IP;45.7745709;12.9441042;;;Ip Services S.R.L.;Benzina;1.579;SelfService;20221227;07
25869;Eni Robegano;45.5423067;12.1198102;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221228;07
25885;Agip;45.8413420;13.0970550;;;Zanini Milvia;Benzina;1.639;SelfService;20221227;07
25885;Agip;45.8413420;13.0970550;;;Zanini Milvia;Benzina;1.861;Servito;20221227;08
25900;;45.2249805;12.1897817;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221228;07
25901;Agip;45.4972582;12.2368211;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221228;07
25902;Agip;45.7680760;12.8340160;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221228;07
25903;Agip;45.1206840;12.0754930;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221228;07
25904;Agip;45.5516490;12.1435120;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221228;07
25905;Agip;45.5281860;12.2390216;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221228;07
25907;;45.3926131;12.0767029;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221228;07
25913;;45.5100616;12.2153702;;;Gestioni Innovative Italia S.R.L.;Benzina;1.624;SelfService;20221227;07
26046;Benzina;45.4180313;12.0893260;;;Stazione di Servizio Tap - Dolo Samb.;Benzina;1.636;SelfService;20221228;07
26046;Benzina;45.4180313;12.0893260;;;Stazione di Servizio Tap - Dolo Samb.;Gasolio;1.688;SelfService;20221228;07
26099;Esso;45.6115992;13.8193811;;;Grs di Samuel Chiaruttini & C. S.A.S.;Benzina;1.929;Servito;20221227;08
26161;;45.9297759;12.7347170;;;Autolavaggi B.M. di Borean Tiberio & C. S.N.C.;Benzina;1.620;Servito;20221228;07
26161;;45.9297759;12.7347170;;;Autolavaggi B.M. di Borean Tiberio & C. S.N.C.;Benzina;1.620;SelfService;20221228;07
26173;;45.9729703;12.6136243;;;S.G.S. S.R.L.;Benzina;1.549;SelfService;20221224;07
26319;;46.2700321;12.3447215;;;Eugas S.R.L.;Benzina;1.629;Servito;20221224;07
26319;;46.2700321;12.3447215;;;Eugas S.R.L.;Benzina;1.629;SelfService;20221224;07
26366;Tamoil;45.9529400;13.4363010;;;Autoservice 2000 di Cara Stefano & C. S.N.C.;Benzina;1.639;Servito;20221227;07
26366;Tamoil;45.9529400;13.4363010;;;Autoservice 2000 di Cara Stefano & C. S.N.C.;Benzina;1.639;SelfService;20221227;07
26568;Oil Italia;46.3629018;13.1354547;;;Oil Italia S.R.L.;Benzina;1.675;Servito;20221227;07
26568;Oil Italia;46.3629018;13.1354547;;;Oil Italia S.R.L.;Benzina;1.675;SelfService;20221227;07
26623;IP;45.8065170;13.3562370;;;Dijust Salvore;Benzina;1.569;Servito;20221227;07
26668;Esso;45.9698940;13.0010620;;;Uliana Mariano;Benzina;1.629;SelfService;20221227;07
26817;Agip;45.7663296;13.1679058;;;C.M. di Formentin Italo & C. S.N.C.;Benzina;1.659;SelfService;20221224;07
26949;;45.5176777;12.2378513;;;Loro F.lli Spa;Benzina;1.579;SelfService;20221227;07
26981;Indipend.;45.4184210;12.2579131;;;Fra.Ro.Ma. S.A.S. di Rombolotto Marco & C.;Benzina;1.899;SelfService;20221224;08
27141;Agip;46.1850793;13.0624972;;;Franzin Marco;Benzina;1.634;SelfService;20221226;07
27631;Agip;45.6361547;13.8311665;;;Self Area 4004 di Riccobon Mauro;Benzina;1.624;SelfService;20221227;07
27631;Agip;45.6361547;13.8311665;;;Self Area 4004 di Riccobon Mauro;Benzina;1.844;Servito;20221227;08
27646;Q8;45.8276793;13.2384890;;;Ylli Service S.N.C. di Hasramaj Ylli e C.;Benzina;1.639;SelfService;20221227;07
27646;Q8;45.8276793;13.2384890;;;Ylli Service S.N.C. di Hasramaj Ylli e C.;Benzina;1.839;Servito;20221227;08
27651;;45.8893323;13.0354500;;;Degano Cesare;Benzina;1.609;Servito;20221227;07
27651;;45.8893323;13.0354500;;;Degano Cesare;Benzina;1.609;SelfService;20221227;07
27995;IP;45.8114000;13.0052800;;;De Paoli Silvio & C. S.N.C.;Benzina;1.599;Servito;20221224;07
27995;IP;45.8114000;13.0052800;;;De Paoli Silvio & C. S.N.C.;Benzina;1.599;SelfService;20221224;07
28207;Tiemme Service;45.8920752;13.3780593;;;Tiemme Service S.A.S.;Benzina;1.669;Servito;20221227;07
28291;Repsol;45.6379173;13.8149834;;;Depiera Ermanno;Benzina;1.798;Servito;20221227;08
28424;Esso;45.8991097;12.7330515;;;Del Col S.R.L.;Benzina;1.589;SelfService;20221224;07
28511;Q8;45.4801987;12.1497066;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.629;SelfService;20221226;07
28748;Europam;45.7669621;12.8964495;;;Europam S.R.L.;Benzina;1.537;SelfService;20221227;07
28866;;45.9020222;13.2573990;;;Ghiraldo Monia;Benzina;1.619;SelfService;20221227;07
28866;;45.9020222;13.2573990;;;Ghiraldo Monia;Benzina;1.829;Servito;20221227;08
28878;M Carburanti;45.3545146;12.0915849;;;Menin Fabio;Benzina;1.629;Servito;20221225;07
28878;M Carburanti;45.3545146;12.0915849;;;Menin Fabio;Benzina;1.629;SelfService;20221225;07
29182;Esso;45.4343910;12.1909140;;;Campas S.N.C. di Campagnaro Marco & C.;Benzina;1.599;SelfService;20221228;07
29278;IP matic;45.8610524;13.4829701;;;Ip Services S.R.L.;Benzina;1.559;SelfService;20221227;07
29516;SMP;46.3895909;13.0260795;;;Smp Tolmezzo;Benzina;1.589;SelfService;20221228;07
29551;Shell;45.9476440;12.6831790;;;Zanetti S.N.C. di Zanetti Nicola e C.;Benzina;1.639;SelfService;20221227;07
29551;Shell;45.9476440;12.6831790;;;Zanetti S.N.C. di Zanetti Nicola e C.;Benzina;1.849;Servito;20221227;08
29654;KV;45.8795934;13.4653178;;;Vanello Eugenio & Figli S.P.A;Benzina;1.689;SelfService;20221227;07
29654;KV;45.8795934;13.4653178;;;Vanello Eugenio & Figli S.P.A;Benzina;1.789;Servito;20221227;08
29740;;45.9668497;12.9684758;;;Big S.R.L.;Benzina;1.599;SelfService;20221227;07
29775;Agip;45.9428001;13.6230662;;;Diana Massimiliano;Benzina;1.614;SelfService;20221227;07
29775;Agip;45.9428001;13.6230662;;;Diana Massimiliano;Benzina;1.834;Servito;20221227;08
30014;Tamoil;45.9723160;12.6821280;;;De Carlo Carlo di De Carlo Vania & C. S.N.C.;Benzina;1.670;Servito;20221227;07
30014;Tamoil;45.9723160;12.6821280;;;De Carlo Carlo di De Carlo Vania & C. S.N.C.;Benzina;1.670;SelfService;20221227;07
30024;;45.1396035;12.1194448;;;Costantin Cavarzere;Benzina;1.617;SelfService;20221227;07
30024;;45.1396035;12.1194448;;;Costantin Cavarzere;Benzina;1.777;Servito;20221227;08
30039;OIL;45.8177495;13.4377002;;;Azzalini Mario & C. - S.A.S.;Benzina;1.587;Servito;20221227;07
