17552;Esso;46.0908191;13.4158393;;;Superfast Esso di Roiatti Roberto & C. S.A.S.
31614;Agip;46.0826080;13.3927630;;;Servizi Innovativi Nord Est S.R.L.
41156;Agip;46.0923845;13.4202953;;;Costaperaria Monica
9575;Tamoil;45.9652460;12.9644680;;;Tigi S.A.S. di Tribos Giovanni & C.
13689;Eni;45.9459880;12.9767420;;;Pituello Stefano
10819;Agip;45.9615074;12.9890621;;;Fratelli Sambucco S.N.C.
45247;IP;45.9649180;12.9548340;;;Geff S.R.L.
45405;Eni;46.1625490;13.1331470;;;Servizi Innovativi Nord Est S.R.L.
36416;Sarni Oil;46.1857730;13.1193710;;;Sarni S.R.L.
46034;IP;46.5150276;12.8657683;;;G.T S.N.C. di Reputin Vittorio e Bellondi Gianmaria
53525;IP;46.1497874;13.3440433;;;Cg Service di Cattarossi Gianluca
3981;Esso;46.0971470;13.0908110;;;Lizzi & C. S.A.S. di Bertuzzi Graziella
23426;Esso;46.1095345;13.0901780;;;Lizzi & C. S.A.S. di Bertuzzi Graziella
17693;Tamoil;45.7933862;13.4060263;;;C.M. S.N.C. di Cosolo Giorgio & C.
11271;COSTANTIN;46.5837750;12.7817560;;;Enertop S.R.L.
52652;Esso;46.2687113;13.1075760;;;Cossa Enzo
20487;Api;46.2594462;13.1022099;;;Mi.Xo. di Xotto Michele
39804;Sarni Oil;45.8817480;13.2594680;;;Sarni S.R.L.
41204;IP;45.9696650;13.1138670;;;Oberai Kapil
;IP;46.2301590;13.1655800;;;IP
27141;Agip;46.1850793;13.0624972;;;Franzin Marco
31170;IP;46.1858366;13.0591611;;;Ip Services S.R.L.
36400;Esso;46.4986793;13.3767055;;;Nuova Sidap S.R.L.
49549;Eni;45.9905070;13.3653190;;;Eni Fuel S.P.A.
5238;SMP;45.9889264;13.3972899;;;Smp Manzano
21007;Agip;46.0145705;13.3879856;;;Autofficina di Chiappo Fausto
26817;Agip;45.7663296;13.1679058;;;C.M. di Formentin Italo & C. S.N.C.
45255;IP;46.0825260;13.1737550;;;Kaur Amandeep
;IP;45.8215580;13.1344500;;;
16077;IP;46.2006007;13.2642323;;;Migueletto Raul Guillermo
45262;IP;46.0519398;13.0500299;;;Geff S.R.L.
31152;Retitalia;45.9444730;13.1770170;;;Gattesco f.lli di Gattesco Ferruccio e Fiorenzo S.N.C.
37779;Esso;46.2102200;13.1027200;;;Kan S.A.S. di Franco Nicola & C.
43101;Total;46.4872916;12.8647991;;;Cimenti Cristian
39053;SM;46.4788771;12.8677096;;;San Marco Petroli Distribuzione S.R.L.
;IP;46.4883737;12.8649368;;;IP
;IP;46.5280265;13.0149382;;;IP
25828;IP;46.0001630;13.2741670;;;Ip Services S.R.L.
25885;Agip;45.8413420;13.0970550;;;Zanini Milvia
16933;Total;46.5007150;13.3016832;;;Agnola Mario
